clean_text
73,china which is a great economic power is considered a developing nation within the world trade organization they…
74,rt   @  realdonaldtrump  :   we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who repr…
75,despite the aluminum tariffs aluminum prices are down 4 people are surprised i’m not  ! lots of money coming into…
76,thank you   @  wvgovernor jim justice it was my great honor to be with the amazing people of west virginia today   maga
77,thanks to our historic tax cuts america is open for business and millions of american workers are seeing more tak…
78,the fake   news   washington post amazon’s “chief lobbyist” has another of many phony headlines “trump defiant as…
79,the caravan is largely broken up thanks to the strong immigration laws of mexico and their willingness to use them…
80,“still rising  :   rasmussen poll shows donald trump approval ratings now at 51 percent”
81,today we honor dr martin luther king jr on the 50th anniversary of his assassination earlier this year i spoke…
82,our thoughts and prayers are with the four us marines from the 3rd marine aircraft wing who lost their lives in y…
83,when you’re already $500 billion down you can’t lose  !
84,we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who r…
85,our border laws are very weak while those of mexico and canada are very strong congress must change these obama era…
86,was just briefed on the shooting at youtube’s hq in san bruno california our thoughts and prayers are with everyb…
87,we will protect our southern border  !
88,today it was my honor to welcome estonia president   @  kerstikaljulaid lithuania president   @  grybauskaitelt and lat…
89,i am right about amazon costing the united states post office massive amounts of money for being their delivery boy…
90,thank you to rasmussen for the honest polling just hit 50 which is higher than cheatin’ obama at the same time in his administration
91,check out the fact that you can’t get a job at ratings challenged   @  cnn unless you state that you are totally antit…
92,the big caravan of people from honduras now coming across mexico and heading to our “weak laws” border had better…
93,the fake   news   networks those that knowingly have a sick and biased agenda are worried about the competition and q…
94,  #  autismawarenessday   #  lightitupblue
95,“president trump's approval rate among likely us voters hit 50 percent on monday which puts him higher than form…
96,39 of my nominations including diplomats to foreign lands have not been confirmed due to democrat obstruction an…
97,honduras mexico and many other countries that the us is very generous to sends many of their people to our coun…
98,as ridiculous as it sounds the laws of our country do not easily allow us to send those crossing our southern bord…
99,“president donald j trump proclaims april 2 2018 world autism awareness day”
100,an honor to host the annual   @  whitehouse easter egg roll  !
101,so sad that the department of “justice” and the fbi are slow walking or even not giving the unredacted documents…
102,only fools or worse are saying that our money losing post office makes money with amazon they lose a fortune an…
103,so funny to watch fake   news   networks among the most dishonest groups of people i have ever dealt with criticize s…
104,mexico is making a fortune on naftathey have very strong border laws  ours are pathetic with all of the money…
105,daca is dead because the democrats didn’t care or act and now everyone wants to get onto the daca bandwagon no…
106,congress must immediately pass border legislation use nuclear option if necessary to stop the massive inflow o…
107,mexico has the absolute power not to let these large “caravans” of people enter their country they must stop them…
108,these big flows of people are all trying to take advantage of daca they want in on the act  !
109,mexico is doing very little if not nothing at stopping people from flowing into mexico through their southern bor…
110,border patrol agents are not allowed to properly do their job at the border because of ridiculous liberal democrat…
111,happy easter  !
112,governor jerry “moonbeam” brown pardoned 5 criminal illegal aliens whose crimes include 1 kidnapping and robbery…
113,does not include the fake washington post which is used as a “lobbyist” and should so  register if the po “i…
114,while we are on the subject it is reported that the us post office will lose $150 on average for each package i…
115,washington spent trillions building up foreign countries while allowing our own infrastructure to fall into a state…
116,jobs jobs jobs  ! unemployment claims have fallen to a 45year low together we are making the economy great again  !
117,we are going to rebuild our crumbling infrastructure and there is no better place to begin this campaign than in t…
118,i have stated my concerns with amazon long before the election unlike others they pay little or no taxes to state…
119,in the interim hon robert wilkie of dod will serve as acting secretary i am thankful for dr david shulkin’s…
120,i am pleased to announce that i intend to nominate highly respected admiral ronny l jackson md as the new secret…
121,great briefing this afternoon on the start of our southern border wall  !
122,release known dangerous criminals into communities across the state all citizens have the right to be protecte…
123,my administration stands in solidarity with the brave citizens in orange county defending their rights against cali…
124,  @  ustraderep just announced an agreement in principle with south korea on korus  ! a great deal for american and kore…
125,received message last night from xi jinping of china that his meeting with kim jong un went very well and that kim…
126,for years and through many administrations everyone said that peace and the denuclearization of the korean peninsu…
127,the second amendment will never be repealed  ! as much as democrats would like to see this happen and despite the wo…
128,i am very pleased to welcome the opioid memorial to the president's park in april i encourage all to visit and rem…
129,rt   @  realdonaldtrump  :   because of the $700 and $716 billion dollars gotten to rebuild our military many jobs are created and our military is a…
130,trade talks going on with numerous countries that for many years have not treated the united states fairly in the end all will be happy  !
131,great   news  #  maga
132,so much fake   news   never been more voluminous or more inaccurate but through it all our country is doing great  !
133,the economy is looking really good it has been many years that we have seen these kind of numbers the underlying…
134,  @  howiecarrshow just wrote a book which everyone is talking about he was a great help he is a veteran journalist…
135,“president donald j trump proclaims march 25 2018 as greek independence day  national day of celebration of gr…
136,happy national   #  medalofhonorday to our heroes we love you  !
137,lawyer or law firm will take months to get up to speed if for no other reason than they can bill more which…
138,many lawyers and top law firms want to represent me in the russia casedon’t believe the fake   news   narrative that…
139,much can be done with the $16 billion given to building and fixing the border wall it is just a down payment wor…
140,because of the $700 and $716 billion dollars gotten to rebuild our military many jobs are created and our military i…
141,france honors a great hero officer died after bravely swapping places with hostage in isis related terror attack…
142,our thoughts and prayers are with the victims of the horrible attack in france yesterday and we grieve the nation’…
143,as a matter of national security i've signed the omnibus spending bill i say to congress  will never sign anothe…
144,obama administration legalized bump stocks bad idea as i promised today the department of justice will issue the…
145,  news   conference at the white house concerning the omnibus spending bill  1  :  00   pm 
146,i am considering a veto of the omnibus spending bill based on the fact that the 800000 plus daca recipients have b…
147,daca was abandoned by the democrats very unfair to them  ! would have been tied to desperately needed wall
148,house intelligence committee votes to release final report findings  no evidence provided of collusion between…
149,i am pleased to announce that effective 4/9/18   @  ambjohnbolton will be my new national security advisor i am very…
150,my honor charlie  thank you   maga
151,as a candidate i pledged that if elected i would use every lawful tool to combat unfair trade protect american wo…
152,rt   @  flotus  :   greetings from   @  whitehouse
153,remember when they were saying during the campaign that donald trump is giving great speeches and drawing big cro…
154,crazy joe biden is trying to act like a tough guy actually he is weak both mentally and physically and yet he t…
155,democrats refused to take care of daca would have been so easy but they just didn’t care i had to fight for military and start of wall
156,got $16 billion to start wall on southern border rest will be forthcoming most importantly got $700 billion to…
157,they can help solve problems with north korea syria ukraine isis iran and even the coming arms race bush…
158,i called president putin of russia to congratulate him on his election victory in past obama called him also th…
159,“special council is told to find crimes whether a crime exists or not i was opposed to the selection of mueller t…
160,there was no probable cause for believing that there was any crime collusion or otherwise or obstruction of ju…
161,department of justice should have urged the supreme court to at least hear the drivers license case on illegal immi…
162,austin bombing suspect is dead great job by law enforcement and all concerned  !
163,our nation was founded by farmers our independence was won by farmers and our continent was tamed by farmers our…
164,the democrats do not want to help daca would be so easy to make a deal  !
165,rt   @  whitehouse  :   the opioid crisis has created stories of despair of shock but also stories of recovery and hope president trump is asking e…
166,a total witch hunt with massive conflicts of interest  !
167,  @  seanhannity on   @  foxandfriends now  ! great 18 am
168,why does the mueller team have 13 hardened democrats some big crooked hillary supporters and zero republicans  ? an…
169,spent very little time with andrew mccabe but he never took notes when he was with me i don’t believe he made mem…
170,wow watch comey lie under oath to senator g when asked “have you ever been an anonymous sourceor known someone…
171,the mueller probe should never have been started in that there was no collusion and there was no crime it was base…
172,the fake   news   is beside themselves that mccabe was caught called out and fired how many hundreds of thousands of…
173,as the house intelligence committee has concluded there was no collusion between russia and the trump campaign as…
174,happy   #  stpatricksday
175,andrew mccabe fired a great day for the hard working men and women of the fbi  a great day for democracy sanctim…
176,“us consumer confidence hits 14year high”
177,it would be great for the republican party of nevada and it’s unity if good guy danny tarkanian would run for cong…
178,our thoughts and prayers go out to the families and loved ones of the brave troops lost in the helicopter crash on…
179,“president donald j trump delivers remarks at the shamrock☘️bowl presentation by prime minister varadkar in the ea…
180,continuing to monitor the heartbreaking bridge collapse at fiu  so tragic many brave first responders rushed in t…
181,it was my honor to welcome prime minister leo varadkar of ireland to the   @  whitehouse  !
182,rt   @  whitehouse  :   yesterday five   @  cabinet secretaries testified on the hill on the need to rebuild our nation's crumbling infrastructure pr…
183,we do have a trade deficit with canada as we do with almost all countries some of them massive   pm   justin trud…
184,larry kudlow will be my chief economic advisor as director of the national economic council our country will have…
185,please join me with your thoughts and prayers for both aviators their families and our incredible   @  usnavy
186,it was wonderful to be back in missouri where our push for historic tax cuts all began six months ago i promised t…
187,together we are making america great again  !
188,today the house took major steps toward securing our schools by passing the stop school violence act we must put t…
189,thank you for hosting   maga
190,we cannot keep a blind eye to the rampant unfair trade practices against our country  !
191,five of our incredible   @  cabinet secretaries are testifying on the hill this morning on the need to rebuild our nati…
192,perhaps at no time in history have the business fundamentals of us companies been better than they are today  !
193,hundreds of good people including very important ambassadors and judges are being blocked and/or slow walked by t…
194,all across this nation we pray for our country and we thank god for our united states marines  ! thank you god bles…
195,it was my great honor to deliver a message at the marine corps air station miramar to our great us military stra…
196,if we don’t have a wall system we’re not going to have a country congress must fund the border wall and prohibit gr…
197,california’s sanctuary policies are illegal and unconstitutional and put the safety and security of our entire nati…
198,“according to the center for immigration studies the $18 billion wall will pay for itself by curbing the importati…
199,heading to see the border wall prototypes in california  !
200,mike pompeo director of the cia will become our new secretary of state he will do a fantastic job  ! thank you to…
201,the economy is raging at an all time high and is set to get even better jobs and wages up vote for rick saccone and keep it going  !
202,the house intelligence committee has after a 14 month long indepth investigation found no evidence of collusion…
203,it was my great honor to welcome the 2017 world series champion houston   @  astros to the   @  whitehouse   houstonstrong
204,the pittsburgh post gazette just endorsed rick saccone for congress he will be much better for steel and business…
205,if schools are mandated to be gun free zones violence and danger are given an open invitation to enter almost all…
206,on 18 to 21 age limits watching court cases and rulings before acting states are making this decision things…
207,very strong improvement and strengthening of background checks will be fully backed by white house legislation mov…
208,secretary of commerce wilbur ross will be speaking with representatives of the european union about eliminating the…
209,rasmussen and others have my approval ratings at around 50 which is higher than obama and yet the political pund…
210,the democrats continue to obstruct the confirmation of hundreds of good and talented people who are needed to run o…
211,the republicans are 50 in recent congressional races a point which the fake   news   media continuously fails to ment…
212,have shown conclusively that there was no collusion with russiajust excuse for losing the only collusion was…
